date,price,Fear&Greed
2018-02-01,9052.5763,30
2018-02-02,8827.63,15
2018-02-03,9224.3913,40
2018-02-04,8186.6488,24
2018-02-05,6914.26,11
2018-02-06,7700.3863,8
2018-02-07,7581.8038,36
2018-02-08,8237.2363,30
2018-02-09,8689.8388,44
2018-02-10,8556.6125,54
2018-02-11,8070.7963,31
2018-02-12,8891.2125,42
2018-02-13,8516.2438,35
2018-02-14,9477.84,55
2018-02-15,10016.4888,71
2018-02-16,10178.7125,67
2018-02-17,11092.1475,74
2018-02-18,10396.63,63
2018-02-19,11159.7238,67
2018-02-20,11228.2413,74
2018-02-21,10456.1725,54
2018-02-22,9830.4263,44
2018-02-23,10149.4625,39
2018-02-24,9682.3825,31
2018-02-25,9586.46,33
2018-02-26,10313.0825,37
2018-02-27,10564.4188,44
2018-02-28,10309.6413,41
2018-03-01,10907.59,38
2018-03-02,11019.5213,47
2018-03-03,11438.6513,56
2018-03-04,11479.7313,44
2018-03-05,11432.9825,55
2018-03-06,10709.5275,59
2018-03-07,9906.8,37
2018-03-08,9299.2838,39
2018-03-09,9237.05,37
2018-03-10,8787.1638,39
2018-03-11,9532.7413,40
2018-03-12,9118.2713,41
2018-03-13,9144.1475,41
2018-03-14,8196.8975,40
2018-03-15,8256.9938,32
2018-03-16,8269.3275,33
2018-03-17,7862.1088,31
2018-03-18,8196.0225,29
2018-03-19,8594.1913,29
2018-03-20,8915.9038,37
2018-03-21,8895.4,36
2018-03-22,8712.8913,36
2018-03-23,8918.7438,28
2018-03-24,8535.8938,32
2018-03-25,8449.835,30
2018-03-26,8138.3363,31
2018-03-27,7790.1575,24
2018-03-28,7937.205,24
2018-03-29,7086.4875,18
2018-03-30,6844.3213,12
2018-03-31,6926.0175,16
2018-04-01,6816.74,16
2018-04-02,7049.7938,11
2018-04-03,7417.8875,22
2018-04-04,6789.3013,22
2018-04-05,6774.7513,17
2018-04-06,6620.4088,19
2018-04-07,6896.2813,20
2018-04-08,7022.7088,17
2018-04-09,6773.9388,21
2018-04-10,6830.9038,18
2018-04-11,6939.55,20
2018-04-12,7916.3725,18
2018-04-13,7889.2313,23
2018-04-17,7890.15,26
2018-04-18,8163.69,24
2018-04-19,8273.7413,25
2018-04-20,8863.5025,26
2018-04-21,8917.5963,32
2018-04-22,8792.83,31
2018-04-23,8938.3038,28
2018-04-24,9652.1563,29
2018-04-25,8864.0875,64
2018-04-26,9278.9975,47
2018-04-27,8978.3325,55
2018-04-28,9342.4713,54
2018-04-29,9392.0313,61
2018-04-30,9244.3225,59
2018-05-01,9067.715,56
2018-05-02,9219.8638,52
2018-05-03,9734.675,55
2018-05-04,9692.7175,56
2018-05-05,9826.5975,63
